CTPS Code,CTPS Name,Customer Code,Domestic/International
010748,NORCAL SACRAMENTO,511652,DOMESTIC
010748,NORCAL SACRAMENTO,479816,DOMESTIC
010748,NORCAL SACRAMENTO,538863,DOMESTIC
010748,NORCAL SACRAMENTO,57146,DOMESTIC
010748,NORCAL SACRAMENTO,576801,DOMESTIC
010100,FULL SAIL MARKETING ,497601,DOMESTIC
010100,FULL SAIL MARKETING ,534627,DOMESTIC
010100,FULL SAIL MARKETING ,539372,DOMESTIC
010100,FULL SAIL MARKETING ,498101,DOMESTIC
010100,FULL SAIL MARKETING ,588019,DOMESTIC
010956,SIERRA NEVADA BREWING,68267,DOMESTIC
010956,SIERRA NEVADA BREWING,515258,DOMESTIC
010408,DPSG SACRAMENTO,85497,DOMESTIC
010408,DPSG SACRAMENTO,514642,DOMESTIC
010408,DPSG SACRAMENTO,35086,DOMESTIC
010408,DPSG SACRAMENTO,496499,DOMESTIC
010537,HOP KNOT BREWING,307299,DOMESTIC
010537,HOP KNOT BREWING,369300,DOMESTIC
010722,NESTLE WATERS ONTARIO,534969,DOMESTIC
010316,COCA COLA TEMPE,511871,DOMESTIC
010316,COCA COLA TEMPE,543435,DOMESTIC
010508,GREEN FLASH BREWING,501745,DOMESTIC
010508,GREEN FLASH BREWING,559082,DOMESTIC
010103,BEARPAW AMERICAN FAST FREIGHT,546775,DOMESTIC
010155,BLUES CITY,500136,DOMESTIC
010155,BLUES CITY,546564,DOMESTIC
010155,BLUES CITY,148347,DOMESTIC
010155,BLUES CITY,517069,DOMESTIC
010155,BLUES CITY,324195,DOMESTIC
010155,BLUES CITY,30584,DOMESTIC
010155,BLUES CITY,488042,DOMESTIC
010155,BLUES CITY,38201,DOMESTIC
